gene id,gene name,uniprot,KO,Structure,Coenzyme Bound Structure,Homolog-Species,Homolog-KEGG,Homolog-Uniprot,Residues,Coenzyme,% Identity,Notes
b0002,thrA,P00561,K12524,6MX1,6DZS,Mycolicibacterium hassiacum DSM 44199,has:MHAS_02717,K5BJC9,R50;R51;R56,,,hom; 
b0031,dapB,P04036,K00215,1ARZ,1ARZ,Esherichia coli K12,eco:b0031,P04036,E38,NAD,100,dapB
b0116,lpdA,P0A9P0,K00382,4JDR,1LVL,Psuedomonas putida,ppu:PP_4404,P09063,E201,NAD,,lpdV (structural is from different strain)
b0173,dxr,P45568,K00099,3ANL,3ANL,Esherichia coli K12,eco:b0173,P45568,K47;R48;T20,NADPH,100,Binding through peptide backbone
b0243,proA,P07004,K00147,None,None,,,,,,,
b0311,betA,P17444,K00108,None,None,,,,,,,
b0347,mhpA,P77397,K05712,None,None,,,,,,,
b0351,mhpF,P77580,K04073,None,5J71,Parageobacillus thermoglucosidasius C56-YS93,,A0A654KSY2,None,ADP,,ADP bound
b0356,frmA,P25437,K00121,None,3UKO,Arabidopsis thaliana,ath:AT5G43940,Q96533,D226,NAD,59.1,NADH bound
b0386,proC,P0A9L8,K00286,None,3TRI,Coxiella burnetii (strain RSA 493 / Nine Mile phase I),cbu:CBU_2090,Q83A21,N36;R37;S38;K41,,36%,
b0425,panE,P0A9J4,K00077,1YJQ,1YJQ,Esherichia coli K12,eco:b0425,P0A9J4,R31,NADPH,100,NADPH
b0509,glxR,P77161,K00042,None,None,,,,,,,Related GRHPR from humans (different orthogroup)
b0529,folD,P24186,K01491,1B0A,6V6Y,Thermus thermophilus,ttj:TTHA1120,Q5SJ94,R163;S187;K188,,46.7,
b0596,entA,P15047,K00216,2FWM,None,,,,,,,
b0662,ubiF,P75728,K03184,None,None,,,,,,,
b0888,trxB,P0A9P4,K00384,1TDF,1TDF,Esherichia coli K12,eco:b0888,P0A9P4,R176;R177;R181,NADPH,100,NADPH
