,id,opt-direction,value
0,10fthf_c,max,-5.889026228925125
1,10fthf_c,min,-13.815510557964274
2,12dgr120_c,max,-2.995732273553991
3,12dgr120_c,min,-13.815510557964274
4,12dgr140_c,max,-2.995732273553991
5,12dgr140_c,min,-13.815510557964274
6,12dgr141_c,max,-2.995732273553991
7,12dgr141_c,min,-13.815510557964274
8,12dgr160_c,max,-2.995732273553991
9,12dgr160_c,min,-13.815510557964274
10,12dgr161_c,max,-2.995732273553991
11,12dgr161_c,min,-13.815510557964274
12,12dgr180_c,max,-2.995732273553991
13,12dgr180_c,min,-13.815510557964274
14,12dgr181_c,max,-2.995732273553991
15,12dgr181_c,min,-13.815510557964274
16,12ppd-R_c,max,-2.995732273553991
17,12ppd-R_c,min,-13.815510557964274
18,12ppd-S_c,max,-2.995732273553991
19,12ppd-S_c,min,-13.815510557964274
20,13dpg_c,max,-2.995732273553991
21,13dpg_c,min,-13.815510557964274
22,14dhncoa_c,max,-2.995732273553991
23,14dhncoa_c,min,-13.815510557964274
24,14glucan_c,max,-2.995732273553991
25,14glucan_c,min,-13.815510557964274
26,15dap_c,max,-2.995732273553991
27,15dap_c,min,-13.815510557964274
28,1ddecg3p_c,max,-2.995732273553991
29,1ddecg3p_c,min,-13.815510557964274
30,1hdec9eg3p_c,max,-2.995732273553991
31,1hdec9eg3p_c,min,-13.815510557964274
32,1hdecg3p_c,max,-2.995732273553991
33,1hdecg3p_c,min,-13.815510557964274
34,1odec11eg3p_c,max,-2.995732273553991
35,1odec11eg3p_c,min,-13.815510557964274
36,1odecg3p_c,max,-2.995732273553991
37,1odecg3p_c,min,-13.815510557964274
38,1pyr5c_c,max,-2.995732273553991
39,1pyr5c_c,min,-13.815510557964274
40,1tdec7eg3p_c,max,-2.995732273553991
41,1tdec7eg3p_c,min,-13.815510557964274
42,1tdecg3p_c,max,-2.995732273553991
43,1tdecg3p_c,min,-13.815510557964274
44,23dappa_c,max,-2.995732273553991
45,23dappa_c,min,-13.815510557964274
46,23ddhb_c,max,-2.995732273553991
47,23ddhb_c,min,-13.815510557964274
48,23dhacoa_c,max,-2.995732273553991
49,23dhacoa_c,min,-13.815510557964274
50,23dhb_c,max,-2.995732273553991
51,23dhb_c,min,-13.815510557964274
52,23dhba_c,max,-2.995732273553991
53,23dhba_c,min,-13.815510557964274
54,23dhbzs_c,max,-2.995732273553991
55,23dhbzs_c,min,-13.815510557964274
56,23dhdp_c,max,-2.995732273553991
57,23dhdp_c,min,-9.717107334657644
58,23dhmb_c,max,-2.995732273553991
59,23dhmb_c,min,-13.815510557964274
60,23dhmp_c,max,-2.995732273553991
61,23dhmp_c,min,-13.815510557964274
62,23doguln_c,max,-2.995732273553991
63,23doguln_c,min,-13.815510557964274
64,25aics_c,max,-2.995732273553991
65,25aics_c,min,-13.815510557964274
66,25dkglcn_c,max,-2.995732273553991
67,25dkglcn_c,min,-13.815510557964274
68,25drapp_c,max,-2.995732273553991
69,25drapp_c,min,-13.815510557964274
70,26dap-LL_c,max,-2.995732273553991
71,26dap-LL_c,min,-13.815510557964274
